CLIENT_CODE,AGE,MARITAL_STATUS,GENDER,INCOME,POSTCODE,LASTUPDATE
1128,D,M,M,48000,41250,2022-02-01
1130,D,M,M,60000,10470,2021-04-17
1135,E,M,M,108000,50450,2020-01-23
1137,E,M,M,60000,76300,2020-09-04
1153,B,S,M,250000,41400,2020-04-17
1162,E,M,F,120000,51200,2022-02-11
1169,E,M,M,84000,80300,2021-01-31
1174,B,S,M,36000,76300,2022-01-15
1175,D,M,M,48000,41400,2021-01-10
1177,C,W,F,500000,10470,2020-08-13
1181,D,M,M,72000,52000,2022-09-25
1183,E,M,F,48000,41400,2023-01-25
1188,B,S,F,120000,68100,2020-10-10
1191,B,S,M,48000,10470,2021-12-08
1192,D,M,M,84000,75000,2023-04-30
1194,C,M,M,50000,41200,2022-08-01
1209,C,M,F,48000,76300,2021-10-24
1216,C,M,F,72000,76300,2020-07-24
1217,D,M,M,100000,75000,2020-04-07
1218,E,M,F,48000,42000,2020-10-04
1220,E,M,F,60000,52000,2022-04-22
1227,D,M,F,48000,80300,2023-01-17
1241,C,S,F,36000,75000,2023-01-02
1253,D,M,F,500000,11500,2022-12-19
1263,D,M,F,48000,47400,2020-08-14
1264,C,M,F,108000,76300,2023-06-19
1273,C,S,M,108000,42000,2022-05-28
1286,B,S,M,100000,75000,2020-11-29
1288,E,M,M,48000,11500,2021-06-12
1314,C,M,F,60000,76300,2021-04-08
1317,E,M,M,108000,81100,2020-09-26
1318,D,M,F,36000,76300,2021-09-15
1320,D,D,M,60000,42000,2022-11-16
1321,D,M,M,84000,47400,2021-12-25
1330,D,S,F,60000,47400,2020-09-26
1332,E,S,M,500000,41400,2020-01-04
1334,D,S,M,48000,80300,2023-06-27
1367,D,M,M,108000,11500,2023-03-28
1373,D,M,M,36000,41200,2022-04-17
1375,D,M,F,120000,52000,2022-09-14
1398,D,M,F,108000,10470,2020-06-27
1403,B,S,F,100000,41400,2020-04-12
1411,E,M,M,500000,51200,2020-11-30
1417,D,M,M,36000,11500,2020-09-18
1419,E,M,F,72000,80300,2020-06-18
1424,B,S,M,36000,68100,2021-06-16
1427,C,M,M,36000,80300,2020-07-04
1439,D,M,F,72000,51200,2020-07-30
1445,D,M,F,250000,75000,2023-04-28
1448,E,M,M,120000,75000,2023-05-29
1456,D,M,F,48000,10470,2021-04-13
1476,C,D,M,36000,80300,2020-02-08
1483,E,S,F,36000,81100,2020-11-05
1497,C,M,F,36000,50450,2020-05-17
1499,B,S,M,36000,10470,2020-09-29
1501,B,S,M,48000,41200,2020-04-07
1512,B,S,M,60000,50450,2021-02-03
1526,E,M,F,72000,80300,2023-05-06
1537,E,M,F,100000,47400,2023-05-03
1538,D,M,M,36000,41400,2021-06-15
1549,D,M,F,120000,68100,2021-12-31
1555,E,W,F,500000,52000,2020-12-30
1564,D,S,F,48000,41400,2020-02-01
1583,E,M,M,100000,50450,2021-01-06
1597,E,M,F,120000,42000,2021-06-18
1616,E,M,M,120000,41200,2021-03-13
1619,D,M,M,60000,76300,2022-12-10
1642,D,S,F,48000,50450,2023-01-11
1646,D,M,F,60000,80300,2020-09-27
1651,D,M,M,100000,68100,2020-12-08
1669,D,M,M,36000,42000,2023-06-10
1700,E,M,F,50000,51200,2023-04-24
1703,D,M,F,48000,52000,2022-05-17
1706,D,M,F,500000,81100,2022-12-18
1714,D,M,M,250000,41250,2022-01-19
1728,E,S,F,60000,10470,2023-05-22
1731,E,M,M,84000,41400,2022-05-15
1755,D,M,M,84000,50450,2020-03-21
1759,D,M,F,36000,41400,2020-03-05
1760,C,M,M,100000,41200,2021-08-01
1769,E,M,M,72000,81100,2022-04-01
1785,E,D,F,120000,75000,2023-05-02
1800,D,M,F,120000,50450,2022-05-15
1812,C,S,F,48000,51200,2023-06-13
1815,D,M,M,500000,42000,2021-11-17
1816,C,M,M,48000,41400,2023-06-28
1824,E,M,M,60000,47400,2022-12-27
1825,D,M,F,84000,41400,2020-03-17
1830,C,M,F,36000,68100,2021-07-17
1831,E,M,M,48000,76300,2021-05-06
1836,C,M,M,50000,52000,2022-06-12
1840,D,M,M,48000,76300,2023-05-03
1840,D,M,M,48000,52000,2020-03-23
1853,E,M,M,108000,76300,2020-02-15
1862,D,S,M,48000,42000,2021-07-16
1864,E,M,F,50000,41400,2022-02-08
1886,B,S,M,72000,42000,2021-11-22
1888,E,M,F,250000,81100,2023-02-26
1895,B,S,F,48000,42000,2020-08-04
1905,D,M,F,48000,51200,2021-03-04
1916,D,M,M,250000,75000,2020-07-09
1927,D,M,F,48000,51200,2020-04-20
1934,C,S,F,72000,41400,2021-05-31
1944,C,M,F,500000,41200,2020-12-20
1949,E,M,F,500000,42000,2022-03-31
1952,D,M,F,500000,76300,2022-08-06
1957,D,M,M,250000,76300,2021-03-13
1960,B,S,M,36000,80300,2022-03-22
1966,D,S,M,60000,41250,2020-10-11
1975,E,M,F,500000,51200,2021-06-21
1976,D,M,M,250000,41400,2023-04-08
1982,C,M,F,84000,41200,2021-04-22
1985,B,S,M,108000,51200,2021-06-26
1994,C,M,F,48000,11500,2020-12-01
2002,D,M,M,120000,52000,2020-06-30
2021,D,M,M,100000,80300,2021-09-19
2048,D,M,M,60000,50450,2020-02-17
2057,E,M,F,72000,47400,2020-08-13
2067,D,M,F,500000,47400,2023-06-16
2067,D,M,F,108000,47400,2020-01-17
2069,D,M,M,48000,68100,2021-10-11
2078,D,M,M,60000,76300,2021-10-06
2085,C,M,F,48000,42000,2020-11-21
2088,D,M,F,60000,41250,2021-10-27
2109,C,S,M,84000,52000,2020-03-19
2112,D,S,M,60000,80300,2023-04-19
2115,D,M,F,48000,41400,2022-07-24
2123,C,S,F,60000,52000,2022-01-30
2131,D,M,F,36000,41400,2023-02-22
2135,D,M,M,48000,42000,2022-06-14
2136,C,M,F,50000,41400,2022-04-24
2144,D,M,M,36000,41400,2021-06-29
2165,C,M,F,120000,76300,2020-06-06
2184,C,M,M,60000,80300,2020-01-02
2200,C,M,M,48000,10470,2020-12-09
2209,E,M,M,60000,41250,2020-11-02
2218,D,M,M,60000,80300,2022-02-22
2223,D,M,F,108000,11500,2022-02-12
2228,C,M,F,72000,52000,2020-07-06
2231,D,D,M,48000,10470,2021-02-27
2238,D,M,M,50000,81100,2020-08-30
2238,D,M,M,120000,10470,2022-06-01
2240,D,M,M,36000,80300,2022-02-08
2246,C,S,M,48000,41200,2020-06-25
2249,B,S,F,48000,41250,2020-05-26
2258,C,M,F,50000,51200,2020-10-14
2264,D,M,F,100000,80300,2021-09-21
2272,D,M,M,72000,80300,2020-01-29
2275,C,M,M,36000,41400,2022-09-23
2288,D,M,F,36000,50450,2020-06-02
2290,C,D,M,50000,75000,2021-05-18
2297,E,M,F,48000,41400,2021-07-16
2304,E,M,M,108000,50450,2020-07-13
2310,C,M,F,48000,81100,2022-09-28
2322,B,S,M,36000,41200,2021-04-05
2332,C,M,F,60000,42000,2021-05-25
2350,D,M,F,72000,11500,2020-09-27
2351,D,M,F,500000,81100,2021-10-02
2357,D,M,M,72000,41400,2023-02-15
2369,E,R,F,48000,76300,2021-06-05
2385,C,S,M,60000,47400,2020-11-18
2394,C,S,F,50000,50450,2022-01-30
2397,C,M,F,250000,76300,2022-07-10
2402,D,M,M,120000,47400,2023-04-23
2418,C,M,M,48000,51200,2020-11-30
2419,C,D,F,48000,75000,2020-03-02
2443,C,M,M,48000,81100,2022-11-02
2455,E,M,M,250000,81100,2021-11-30
2456,C,M,F,250000,80300,2020-10-25
2469,D,S,M,50000,68100,2020-11-16
2473,B,S,M,48000,76300,2022-01-02
2487,D,M,F,60000,11500,2020-07-21
2501,D,M,F,50000,81100,2021-12-16
2506,D,M,M,500000,11500,2022-12-17
2514,B,S,M,500000,10470,2020-02-22
2515,C,M,F,100000,47400,2023-02-26
2517,C,M,F,48000,47400,2023-01-04
2518,E,M,F,48000,41200,2022-01-13
2523,D,S,M,48000,41400,2023-01-08
2524,A,S,F,0,50450,2020-07-07
2535,B,S,F,48000,41400,2022-09-22
2570,C,S,M,100000,80300,2020-10-01
2581,D,M,F,84000,76300,2022-03-08
2592,B,S,F,48000,81100,2020-02-27
2602,B,S,F,108000,50450,2023-03-29
2607,E,M,M,48000,42000,2022-05-21
2612,E,M,F,60000,68100,2022-12-19
2613,D,M,M,60000,47400,2023-04-09
2616,D,S,M,120000,81100,2022-06-10
2636,D,M,M,100000,75000,2020-09-05
2639,E,M,F,48000,81100,2022-04-22
2643,C,M,F,36000,41400,2023-03-04
2645,D,W,F,48000,80300,2020-09-21
2659,D,M,M,100000,52000,2020-02-21
2661,D,M,F,60000,75000,2022-05-11
2664,D,M,M,100000,50450,2021-09-18
2665,D,M,F,84000,41250,2020-01-07
2699,C,M,F,250000,50450,2020-05-10
2704,C,M,F,100000,75000,2022-04-10
2712,E,M,M,250000,68100,2020-03-25
2737,E,S,M,250000,76300,2020-01-08
2740,D,M,F,108000,41250,2022-12-24
2779,C,M,F,48000,42000,2023-03-26
2780,D,M,F,48000,81100,2020-02-26
2785,D,M,F,108000,41250,2023-05-02
2804,C,M,F,108000,41250,2020-01-08
2813,D,M,F,48000,41200,2021-08-25
2839,D,S,M,500000,75000,2022-09-12
2855,D,M,M,500000,41400,2023-06-13
2856,C,M,M,72000,41400,2022-09-29
2865,C,M,M,36000,41250,2021-12-30
2868,D,M,M,36000,51200,2022-12-31
2872,B,S,F,500000,11500,2023-06-26
2887,E,S,M,60000,11500,2022-07-01
2888,C,M,F,108000,50450,2021-12-27
2888,C,M,F,84000,41250,2021-11-30
2890,E,M,M,72000,50450,2021-07-28
2906,C,M,M,50000,68100,2022-11-29
2916,D,D,M,36000,11500,2022-09-20
2919,C,M,F,72000,11500,2022-04-12
2929,D,M,M,50000,75000,2021-09-04
2935,C,S,F,100000,80300,2023-06-30
2949,C,M,F,48000,41200,2021-05-03
2952,C,S,F,48000,41400,2021-05-15
2976,B,M,F,100000,41250,2021-12-28
2981,C,M,M,108000,41400,2022-08-22
2982,C,M,F,48000,11500,2020-12-25
2983,C,S,F,60000,42000,2021-09-11
2985,D,M,M,60000,80300,2022-05-12
2990,D,M,M,48000,47400,2022-03-16
2994,C,S,M,60000,10470,2021-12-22
2999,D,M,F,250000,50450,2022-12-11
3011,C,M,M,120000,10470,2023-01-27
3017,E,D,F,48000,52000,2020-08-02
3027,C,S,F,48000,41200,2020-07-04
3036,D,M,M,120000,41250,2022-12-04
3047,B,S,F,60000,81100,2020-04-11
3048,C,M,M,48000,80300,2020-08-02
3055,D,M,M,48000,80300,2021-04-11
3063,D,M,M,500000,10470,2020-02-20
3064,D,M,M,36000,11500,2021-03-26
3073,D,M,F,120000,47400,2020-02-29
3077,C,M,M,48000,76300,2022-02-27
3080,D,M,F,36000,41250,2021-07-31
3090,C,M,F,120000,51200,2020-07-05
3112,D,M,F,108000,76300,2021-03-17
3141,D,M,M,84000,52000,2021-10-15
3156,C,M,M,108000,47400,2022-11-12
3164,E,D,F,50000,41200,2022-08-13
3169,D,M,M,36000,68100,2020-08-03
3174,C,M,F,500000,51200,2021-05-20
3189,D,M,M,36000,81100,2020-04-11
3207,D,M,M,60000,47400,2020-01-31
3211,D,M,F,60000,81100,2022-09-23
3214,C,M,F,84000,76300,2020-02-14
3229,C,M,M,36000,11500,2020-02-28
3238,D,M,F,60000,11500,2021-02-12
3240,E,M,F,100000,47400,2021-11-13
3251,E,M,F,36000,75000,2022-05-23
3259,C,M,F,72000,41200,2020-05-01
3259,C,M,F,60000,11500,2021-09-12
3273,C,D,M,120000,41400,2021-03-24
3276,D,M,F,108000,81100,2022-01-23
3294,C,S,M,100000,47400,2020-03-16
3310,B,S,F,500000,52000,2020-02-27
3321,E,M,M,36000,68100,2021-10-08
3325,B,M,M,60000,10470,2023-05-18
3342,D,M,F,36000,47400,2020-05-30
3349,E,M,F,48000,81100,2020-09-07
3350,C,M,F,60000,41400,2022-03-03
3352,C,M,F,60000,81100,2022-12-01
3353,D,M,M,84000,11500,2022-06-04
3361,D,M,M,60000,41200,2020-01-06
3366,D,M,M,500000,41400,2022-02-19
3376,E,D,F,120000,41200,2022-01-21
3383,C,M,M,36000,41400,2023-01-14
3387,E,M,M,60000,42000,2020-03-17
3395,B,S,F,250000,41200,2023-05-23
3403,C,M,F,36000,50450,2023-05-25
3429,E,M,F,100000,41400,2021-03-07
3432,B,S,M,60000,51200,2020-04-26
3435,C,M,M,100000,47400,2021-08-11
3439,C,S,M,108000,10470,2023-05-22
3450,C,M,M,60000,11500,2021-01-19
3454,C,M,F,48000,76300,2023-03-22
3460,B,S,M,108000,80300,2020-10-18
3464,D,M,F,36000,42000,2020-12-01
3464,D,M,F,48000,10470,2022-01-22
3464,D,M,F,60000,75000,2021-04-26
3464,D,M,F,36000,75000,2023-04-18
3470,C,S,M,60000,11500,2021-02-05
3481,B,M,M,50000,81100,2022-03-24
3481,B,M,M,108000,81100,2022-12-04
3499,D,M,F,120000,41400,2020-11-24
3512,D,M,M,36000,80300,2021-01-31
3534,C,M,F,48000,41200,2020-10-25
3552,C,M,F,250000,76300,2020-07-31
3558,C,M,M,250000,47400,2022-05-15
3565,D,M,M,72000,11500,2021-11-08
3568,C,M,M,60000,41400,2022-09-25
3581,D,M,M,500000,75000,2022-01-17
3583,C,S,M,84000,80300,2023-02-14
3584,E,M,M,48000,51200,2020-02-12
3594,D,M,F,500000,50450,2022-07-23
3598,D,M,M,250000,41400,2020-09-24
3620,D,M,F,100000,42000,2022-01-13
3621,D,M,M,36000,76300,2021-10-16
3625,C,M,F,250000,11500,2020-11-23
3626,D,M,F,36000,41400,2020-09-09
3641,C,M,M,50000,41400,2022-11-19
3642,E,S,F,50000,11500,2020-04-27
3644,C,M,M,36000,75000,2020-01-19
3645,E,W,F,36000,41400,2023-05-26
3647,C,S,F,108000,68100,2021-08-09
3649,D,M,M,108000,41250,2022-06-23
3652,C,M,M,48000,81100,2022-10-28
3653,D,M,F,108000,41400,2022-04-06
3657,C,M,F,48000,50450,2020-05-22
3659,C,M,F,48000,50450,2021-01-21
3685,E,D,F,500000,11500,2022-09-07
3691,C,M,F,36000,47400,2020-02-22
3715,C,S,F,48000,52000,2020-10-07
3726,D,M,F,108000,50450,2023-04-21
3732,C,M,F,50000,76300,2022-02-23
3736,D,S,M,60000,75000,2021-08-07
3745,C,S,F,72000,41250,2022-03-12
3751,C,D,F,108000,80300,2022-01-07
3753,D,M,F,60000,42000,2023-02-20
3756,C,S,F,60000,41200,2020-03-07
3769,D,M,M,48000,47400,2021-06-02
3771,C,S,M,60000,41250,2020-11-30
3772,D,M,M,36000,11500,2021-05-14
3777,D,M,F,60000,42000,2023-03-07
3786,B,S,M,48000,11500,2020-06-17
3793,D,M,M,60000,41250,2021-08-02
3794,D,M,M,250000,50450,2022-04-21
3840,C,M,M,60000,41200,2021-11-15
3841,D,M,F,72000,50450,2021-11-21
3843,D,M,F,50000,80300,2023-04-02
3849,C,M,F,60000,41250,2021-09-25
3851,D,S,M,48000,11500,2022-10-06
3853,B,M,M,72000,75000,2020-12-18
3857,E,M,F,48000,50450,2021-06-26
3874,D,M,F,60000,81100,2021-10-19
3875,E,M,M,72000,52000,2023-04-03
3893,D,M,M,48000,41400,2021-11-05
3902,B,S,M,48000,80300,2022-04-01
3902,B,S,M,72000,41200,2020-02-27
3922,C,S,F,48000,41400,2022-12-03
3926,C,M,M,250000,50450,2020-12-24
3938,C,S,M,500000,41200,2022-02-05
3945,E,M,F,50000,51200,2021-07-25
3947,C,D,F,250000,76300,2020-03-03
3948,D,M,F,72000,81100,2021-06-30
3951,C,M,F,36000,47400,2020-06-20
3959,D,S,M,48000,47400,2021-03-06
3960,D,M,F,84000,11500,2022-09-18
3978,E,M,M,100000,41250,2021-01-19
4000,D,M,M,100000,52000,2021-05-14
4002,B,M,M,48000,75000,2020-12-29
4005,B,S,F,60000,52000,2022-03-24
4010,C,M,F,120000,50450,2022-11-15
4018,B,S,F,100000,52000,2021-08-26
4036,C,M,F,60000,68100,2022-01-11
4051,C,S,M,48000,10470,2021-09-18
4056,E,M,M,48000,47400,2022-06-11
4080,C,S,F,60000,52000,2020-11-23
4088,D,M,F,48000,52000,2020-04-28
4105,E,S,F,84000,41400,2021-10-24
4106,E,M,F,60000,50450,2021-10-13
4120,E,S,F,48000,41250,2023-01-25
4121,E,M,M,108000,42000,2020-08-11
4124,D,M,M,120000,75000,2021-05-05
4130,C,M,M,36000,47400,2022-10-04
4133,B,S,F,100000,50450,2021-06-08
4135,E,S,F,500000,50450,2021-04-22
4144,B,M,M,50000,80300,2020-05-25
4149,D,M,M,120000,47400,2022-04-14
4151,B,S,M,72000,75000,2020-09-23
4163,C,M,M,36000,41400,2020-02-27
4185,C,M,F,60000,52000,2020-05-20
4188,B,S,F,48000,80300,2021-07-30
4200,B,S,M,60000,41250,2020-08-27
4203,B,M,M,100000,80300,2022-07-03
4207,E,M,M,84000,75000,2021-07-18
4218,B,M,F,120000,47400,2021-09-18
4224,D,M,F,48000,41400,2022-04-05
4228,C,M,F,60000,47400,2022-12-18
4231,D,W,F,48000,11500,2020-11-25
4243,D,S,M,50000,76300,2020-06-07
4244,C,S,F,500000,11500,2021-11-11
4263,D,M,M,250000,76300,2020-03-20
4264,C,M,M,84000,76300,2023-01-29
4269,B,S,F,48000,11500,2021-03-30
4275,D,M,M,48000,75000,2021-06-30
4278,C,M,M,120000,42000,2022-01-20
4282,D,M,M,48000,41250,2023-04-26
4283,E,M,F,84000,68100,2022-10-18
4287,C,M,F,500000,50450,2020-10-10
4287,C,M,F,100000,81100,2021-11-08
4297,C,M,M,48000,80300,2021-08-11
4301,C,S,M,48000,41200,2021-06-07
4304,C,M,F,100000,50450,2023-01-24
4308,E,M,M,250000,52000,2021-04-24
4313,B,S,F,48000,41250,2022-12-11
4315,E,D,F,36000,52000,2020-01-16
4316,D,S,M,50000,75000,2023-05-12
4318,D,M,M,48000,76300,2022-03-02
4338,C,S,M,500000,68100,2021-09-05
4340,C,M,F,48000,41200,2021-08-24
4341,D,M,F,36000,10470,2023-06-22
4349,C,S,F,500000,52000,2022-03-12
4376,E,M,F,48000,42000,2020-10-10
4389,E,R,F,48000,47400,2020-07-08
4403,D,M,F,500000,42000,2021-07-16
4416,D,M,F,500000,42000,2022-10-17
4419,D,M,F,50000,41200,2022-10-16
4442,D,M,F,108000,51200,2020-08-25
4445,C,M,M,50000,10470,2022-11-15
4452,D,M,F,100000,41250,2022-08-14
4455,D,S,F,250000,50450,2021-12-17
4458,D,M,M,36000,50450,2020-10-12
4460,C,S,M,36000,41250,2022-04-06
4465,B,S,M,72000,52000,2022-12-20
4479,D,D,F,72000,41250,2021-03-24
4482,C,M,M,250000,75000,2023-02-28
4489,C,M,F,250000,11500,2023-02-28
4489,C,M,F,50000,80300,2022-11-04
4491,B,M,F,50000,42000,2021-07-24
4493,C,M,M,36000,80300,2020-12-11
4495,C,M,M,120000,76300,2020-04-27
4511,C,M,M,48000,81100,2020-09-02
4515,D,M,M,60000,50450,2023-02-05
4519,B,S,F,48000,80300,2021-06-17
4523,B,M,M,72000,76300,2022-06-07
4524,D,M,F,84000,41200,2021-11-19
4545,C,S,M,120000,75000,2023-02-03
4549,B,S,F,84000,41200,2022-07-21
4560,D,M,M,36000,41400,2022-07-25
4565,E,M,F,36000,52000,2022-07-05
4568,D,M,M,108000,80300,2022-11-15
4583,B,S,F,72000,11500,2022-08-26
4597,A,S,F,0,52000,2022-01-06
4600,C,M,M,50000,80300,2020-11-21
4602,D,S,M,60000,41250,2022-12-09
4616,B,S,F,500000,81100,2021-08-25
4620,B,S,M,36000,10470,2023-04-06
4622,C,M,M,500000,68100,2020-03-10
4625,C,M,F,500000,81100,2022-01-29
4640,B,S,M,120000,41200,2020-04-16
4643,B,S,M,60000,52000,2021-04-24
4661,D,M,F,48000,52000,2021-01-10
4667,C,M,M,48000,50450,2021-04-30
4673,D,M,M,500000,50450,2021-02-04
4674,E,M,M,60000,41400,2022-05-14
4685,B,S,F,250000,50450,2021-10-20
4690,C,M,M,72000,75000,2023-06-12
4691,E,M,M,100000,81100,2022-09-22
4692,A,S,M,0,52000,2020-04-25
4751,E,M,F,48000,80300,2022-09-09
4757,D,M,M,36000,81100,2021-02-13
4760,B,M,F,108000,47400,2022-12-06
4762,C,M,F,72000,76300,2022-09-13
4764,D,M,F,36000,68100,2022-10-07
4765,D,M,F,100000,52000,2021-09-10
4793,E,M,F,50000,41200,2021-09-30
4795,E,M,M,120000,41400,2022-09-09
4798,C,M,F,48000,47400,2023-01-08
4807,D,M,M,100000,41200,2021-12-05
4814,D,R,M,120000,51200,2022-01-05
4816,E,M,F,500000,75000,2022-12-28
4818,C,M,M,108000,10470,2023-02-09
4819,B,M,M,120000,10470,2020-04-16
4820,D,M,M,36000,51200,2022-10-23
4824,B,S,M,120000,11500,2022-11-19
4836,C,M,M,36000,47400,2021-03-25
4837,B,S,M,50000,51200,2023-01-30
4845,D,M,F,50000,41400,2023-01-11
4850,B,M,M,60000,41200,2020-02-14
4861,B,M,F,36000,10470,2023-03-09
4862,E,M,M,50000,76300,2020-01-07
4887,C,M,M,48000,41250,2022-08-04
4888,C,M,F,120000,11500,2021-01-25
4897,B,M,M,60000,68100,2023-05-03
4918,D,M,M,50000,76300,2021-01-12
4923,D,M,F,36000,11500,2022-02-09
4932,E,M,F,48000,41250,2020-08-07
4933,C,M,M,36000,81100,2021-11-02
4936,C,S,M,48000,51200,2022-11-24
4947,B,M,F,84000,75000,2021-08-15
4955,D,M,F,50000,76300,2023-01-11
4957,C,D,F,48000,76300,2020-05-12
4961,E,M,M,108000,50450,2022-04-07
4971,C,M,M,48000,52000,2020-11-20
4972,D,M,M,36000,41400,2021-09-17
4973,C,M,F,48000,50450,2022-08-05
4984,C,M,M,36000,75000,2022-07-15
4992,C,M,F,250000,42000,2020-02-21
4994,D,M,F,36000,68100,2022-11-15
4995,C,M,F,500000,10470,2023-04-10
5000,D,M,F,84000,68100,2022-03-12
5003,B,S,F,48000,41400,2021-10-11
5018,A,S,M,0,11500,2020-11-28
5023,D,S,M,500000,11500,2023-06-03
5025,D,M,M,72000,81100,2021-08-25
5027,E,M,F,48000,10470,2021-02-23
5035,C,M,M,36000,42000,2020-04-12
