CLIENT_CODE,AGE,MARITAL_STATUS,GENDER,INCOME,POSTCODE,LASTUPDATE,
1119,D,M,F,60000,41200,16/8/2020,
1128,D,M,M,48000,41250,1/2/2022,
1130,D,M,M,60000,10470,17/4/2021,
1135,E,M,M,108000,50450,23/1/2020,
1137,E,M,M,60000,76300,4/9/2020,
1153,B,S,M,250000,41400,17/4/2020,
1162,E,M,F,120000,51200,11/2/2022,
1169,E,M,M,84000,80300,31/1/2021,
1174,B,S,M,36000,76300,15/1/2022,
1175,D,M,M,48000,41400,10/1/2021,
1177,C,W,F,500000,10470,13/8/2020,
1181,D,M,M,72000,52000,25/9/2022,
1183,E,M,F,48000,41400,25/1/2023,
1188,B,S,F,120000,68100,10/10/2020,
1191,B,S,M,48000,10470,8/12/2021,
1192,D,M,M,84000,75000,30/4/2023,
1194,C,M,M,50000,41200,1/8/2022,
1209,C,M,F,48000,76300,24/10/2021,
1216,C,M,F,72000,76300,24/7/2020,
1217,D,M,M,100000,75000,7/4/2020,
1218,E,M,F,48000,42000,4/10/2020,
1220,E,M,F,60000,52000,22/4/2022,
1227,D,M,F,48000,80300,17/1/2023,
1241,C,S,F,36000,75000,2/1/2023,
1253,D,M,F,500000,11500,19/12/2022,
1263,D,M,F,48000,47400,14/8/2020,
1264,C,M,F,108000,76300,19/6/2023,
1273,C,S,M,108000,42000,28/5/2022,
1286,B,S,M,100000,75000,29/11/2020,
1288,E,M,M,48000,11500,12/6/2021,
1314,C,M,F,60000,76300,8/4/2021,
1317,E,M,M,108000,81100,26/9/2020,
1318,D,M,F,36000,76300,15/9/2021,
1320,D,D,M,60000,42000,16/11/2022,
1321,D,M,M,84000,47400,25/12/2021,
1330,D,S,F,60000,47400,26/9/2020,
1332,E,S,M,500000,41400,4/1/2020,
1334,D,S,M,48000,80300,27/6/2023,
1367,D,M,M,108000,11500,28/3/2023,
1373,D,M,M,36000,41200,17/4/2022,
1375,D,M,F,120000,52000,14/9/2022,
1398,D,M,F,108000,10470,27/6/2020,
1403,B,S,F,100000,41400,12/4/2020,
1411,E,M,M,500000,51200,30/11/2020,
1417,D,M,M,36000,11500,18/9/2020,
1419,E,M,F,72000,80300,18/6/2020,
1424,B,S,M,36000,68100,16/6/2021,
1427,C,M,M,36000,80300,4/7/2020,
1439,D,M,F,72000,51200,30/7/2020,
1445,D,M,F,250000,75000,28/4/2023,
1448,E,M,M,120000,75000,29/5/2023,
1456,D,M,F,48000,10470,13/4/2021,
1476,C,D,M,36000,80300,8/2/2020,
1483,E,S,F,36000,81100,5/11/2020,
1497,C,M,F,36000,50450,17/5/2020,
1499,B,S,M,36000,10470,29/9/2020,
1501,B,S,M,48000,41200,7/4/2020,
1512,B,S,M,60000,50450,3/2/2021,
1526,E,M,F,72000,80300,6/5/2023,
1537,E,M,F,100000,47400,3/5/2023,
1538,D,M,M,36000,41400,15/6/2021,
1549,D,M,F,120000,68100,31/12/2021,
1555,E,W,F,500000,52000,30/12/2020,
1564,D,S,F,48000,41400,1/2/2020,
1583,E,M,M,100000,50450,6/1/2021,
1597,E,M,F,120000,42000,18/6/2021,
1616,E,M,M,120000,41200,13/3/2021,
1619,D,M,M,60000,76300,10/12/2022,
1642,D,S,F,48000,50450,11/1/2023,
1646,D,M,F,60000,80300,27/9/2020,
1651,D,M,M,100000,68100,8/12/2020,
1669,D,M,M,36000,42000,10/6/2023,
1700,E,M,F,50000,51200,24/4/2023,
1703,D,M,F,48000,52000,17/5/2022,
1706,D,M,F,500000,81100,18/12/2022,
1714,D,M,M,250000,41250,19/1/2022,
1728,E,S,F,60000,10470,22/5/2023,
1731,E,M,M,84000,41400,15/5/2022,
1755,D,M,M,84000,50450,21/3/2020,
1759,D,M,F,36000,41400,5/3/2020,
1760,C,M,M,100000,41200,1/8/2021,
1769,E,M,M,72000,81100,1/4/2022,
1785,E,D,F,120000,75000,2/5/2023,
1800,D,M,F,120000,50450,15/5/2022,
1812,C,S,F,48000,51200,13/6/2023,
1815,D,M,M,500000,42000,17/11/2021,
1816,C,M,M,48000,41400,28/6/2023,
1824,E,M,M,60000,47400,27/12/2022,
1825,D,M,F,84000,41400,17/3/2020,
1830,C,M,F,36000,68100,17/7/2021,
1831,E,M,M,48000,76300,6/5/2021,
1836,C,M,M,50000,52000,12/6/2022,
1840,D,M,M,48000,76300,3/5/2023,
1840,D,M,M,48000,52000,23/3/2020,
1853,E,M,M,108000,76300,15/2/2020,
1862,D,S,M,48000,42000,16/7/2021,
1864,E,M,F,50000,41400,8/2/2022,
1886,B,S,M,72000,42000,22/11/2021,
1888,E,M,F,250000,81100,26/2/2023,
1895,B,S,F,48000,42000,4/8/2020,
1905,D,M,F,48000,51200,4/3/2021,
1916,D,M,M,250000,75000,9/7/2020,
1927,D,M,F,48000,51200,20/4/2020,
1934,C,S,F,72000,41400,31/5/2021,
1944,C,M,F,500000,41200,20/12/2020,
1949,E,M,F,500000,42000,31/3/2022,
1952,D,M,F,500000,76300,6/8/2022,
1957,D,M,M,250000,76300,13/3/2021,
1960,B,S,M,36000,80300,22/3/2022,
1966,D,S,M,60000,41250,11/10/2020,
1975,E,M,F,500000,51200,21/6/2021,
1976,D,M,M,250000,41400,8/4/2023,
1982,C,M,F,84000,41200,22/4/2021,
1985,B,S,M,108000,51200,26/6/2021,
1994,C,M,F,48000,11500,1/12/2020,
2002,D,M,M,120000,52000,30/6/2020,
2021,D,M,M,100000,80300,19/9/2021,
2048,D,M,M,60000,50450,17/2/2020,
2057,E,M,F,72000,47400,13/8/2020,
2067,D,M,F,500000,47400,16/6/2023,
2067,D,M,F,108000,47400,17/1/2020,
2069,D,M,M,48000,68100,11/10/2021,
2078,D,M,M,60000,76300,6/10/2021,
2085,C,M,F,48000,42000,21/11/2020,
2088,D,M,F,60000,41250,27/10/2021,
2109,C,S,M,84000,52000,19/3/2020,
2112,D,S,M,60000,80300,19/4/2023,
2115,D,M,F,48000,41400,24/7/2022,
2123,C,S,F,60000,52000,30/1/2022,
2131,D,M,F,36000,41400,22/2/2023,
2135,D,M,M,48000,42000,14/6/2022,
2136,C,M,F,50000,41400,24/4/2022,
2144,D,M,M,36000,41400,29/6/2021,
2165,C,M,F,120000,76300,6/6/2020,
2184,C,M,M,60000,80300,2/1/2020,
2200,C,M,M,48000,10470,9/12/2020,
2209,E,M,M,60000,41250,2/11/2020,
2218,D,M,M,60000,80300,22/2/2022,
2223,D,M,F,108000,11500,12/2/2022,
2228,C,M,F,72000,52000,6/7/2020,
2231,D,D,M,48000,10470,27/2/2021,
2238,D,M,M,50000,81100,30/8/2020,
2238,D,M,M,120000,10470,1/6/2022,
2240,D,M,M,36000,80300,8/2/2022,
2246,C,S,M,48000,41200,25/6/2020,
2249,B,S,F,48000,41250,26/5/2020,
2258,C,M,F,50000,51200,14/10/2020,
2264,D,M,F,100000,80300,21/9/2021,
2272,D,M,M,72000,80300,29/1/2020,
2275,C,M,M,36000,41400,23/9/2022,
2288,D,M,F,36000,50450,2/6/2020,
2290,C,D,M,50000,75000,18/5/2021,
2297,E,M,F,48000,41400,16/7/2021,
2304,E,M,M,108000,50450,13/7/2020,
2310,C,M,F,48000,81100,28/9/2022,
2322,B,S,M,36000,41200,5/4/2021,
2332,C,M,F,60000,42000,25/5/2021,
2350,D,M,F,72000,11500,27/9/2020,
2351,D,M,F,500000,81100,2/10/2021,
2357,D,M,M,72000,41400,15/2/2023,
2369,E,R,F,48000,76300,5/6/2021,
2385,C,S,M,60000,47400,18/11/2020,
2394,C,S,F,50000,50450,30/1/2022,
2397,C,M,F,250000,76300,10/7/2022,
2402,D,M,M,120000,47400,23/4/2023,
2418,C,M,M,48000,51200,30/11/2020,
2419,C,D,F,48000,75000,2/3/2020,
2443,C,M,M,48000,81100,2/11/2022,
2455,E,M,M,250000,81100,30/11/2021,
2456,C,M,F,250000,80300,25/10/2020,
2469,D,S,M,50000,68100,16/11/2020,
2473,B,S,M,48000,76300,2/1/2022,
2487,D,M,F,60000,11500,21/7/2020,
2501,D,M,F,50000,81100,16/12/2021,
2506,D,M,M,500000,11500,17/12/2022,
2514,B,S,M,500000,10470,22/2/2020,
2515,C,M,F,100000,47400,26/2/2023,
2517,C,M,F,48000,47400,4/1/2023,
2518,E,M,F,48000,41200,13/1/2022,
2523,D,S,M,48000,41400,8/1/2023,
2524,A,S,F,0,50450,7/7/2020,
2535,B,S,F,48000,41400,22/9/2022,
2570,C,S,M,100000,80300,1/10/2020,
2581,D,M,F,84000,76300,8/3/2022,
2592,B,S,F,48000,81100,27/2/2020,
2602,B,S,F,108000,50450,29/3/2023,
2607,E,M,M,48000,42000,21/5/2022,
2612,E,M,F,60000,68100,19/12/2022,
2613,D,M,M,60000,47400,9/4/2023,
2616,D,S,M,120000,81100,10/6/2022,
2636,D,M,M,100000,75000,5/9/2020,
2639,E,M,F,48000,81100,22/4/2022,
2643,C,M,F,36000,41400,4/3/2023,
2645,D,W,F,48000,80300,21/9/2020,
2659,D,M,M,100000,52000,21/2/2020,
2661,D,M,F,60000,75000,11/5/2022,
2664,D,M,M,100000,50450,18/9/2021,
2665,D,M,F,84000,41250,7/1/2020,
2699,C,M,F,250000,50450,10/5/2020,
2704,C,M,F,100000,75000,10/4/2022,
2712,E,M,M,250000,68100,25/3/2020,
2737,E,S,M,250000,76300,8/1/2020,
2740,D,M,F,108000,41250,24/12/2022,
2779,C,M,F,48000,42000,26/3/2023,
2780,D,M,F,48000,81100,26/2/2020,
2785,D,M,F,108000,41250,2/5/2023,
2804,C,M,F,108000,41250,8/1/2020,
2813,D,M,F,48000,41200,25/8/2021,
2839,D,S,M,500000,75000,12/9/2022,
2855,D,M,M,500000,41400,13/6/2023,
2856,C,M,M,72000,41400,29/9/2022,
2865,C,M,M,36000,41250,30/12/2021,
2868,D,M,M,36000,51200,31/12/2022,
2872,B,S,F,500000,11500,26/6/2023,
2887,E,S,M,60000,11500,1/7/2022,
2888,C,M,F,108000,50450,27/12/2021,
2888,C,M,F,84000,41250,30/11/2021,
2890,E,M,M,72000,50450,28/7/2021,
2906,C,M,M,50000,68100,29/11/2022,
2916,D,D,M,36000,11500,20/9/2022,
2919,C,M,F,72000,11500,12/4/2022,
2929,D,M,M,50000,75000,4/9/2021,
2935,C,S,F,100000,80300,30/6/2023,
2949,C,M,F,48000,41200,3/5/2021,
2952,C,S,F,48000,41400,15/5/2021,
2976,B,M,F,100000,41250,28/12/2021,
2981,C,M,M,108000,41400,22/8/2022,
2982,C,M,F,48000,11500,25/12/2020,
2983,C,S,F,60000,42000,11/9/2021,
2985,D,M,M,60000,80300,12/5/2022,
2990,D,M,M,48000,47400,16/3/2022,
2994,C,S,M,60000,10470,22/12/2021,
2999,D,M,F,250000,50450,11/12/2022,
3011,C,M,M,120000,10470,27/1/2023,
3017,E,D,F,48000,52000,2/8/2020,
3027,C,S,F,48000,41200,4/7/2020,
3036,D,M,M,120000,41250,4/12/2022,
3047,B,S,F,60000,81100,11/4/2020,
3048,C,M,M,48000,80300,2/8/2020,
3055,D,M,M,48000,80300,11/4/2021,
3063,D,M,M,500000,10470,20/2/2020,
3064,D,M,M,36000,11500,26/3/2021,
3073,D,M,F,120000,47400,29/2/2020,
3077,C,M,M,48000,76300,27/2/2022,
3080,D,M,F,36000,41250,31/7/2021,
3090,C,M,F,120000,51200,5/7/2020,
3112,D,M,F,108000,76300,17/3/2021,
3141,D,M,M,84000,52000,15/10/2021,
3156,C,M,M,108000,47400,12/11/2022,
3164,E,D,F,50000,41200,13/8/2022,
3169,D,M,M,36000,68100,3/8/2020,
3174,C,M,F,500000,51200,20/5/2021,
3189,D,M,M,36000,81100,11/4/2020,
3207,D,M,M,60000,47400,31/1/2020,
3211,D,M,F,60000,81100,23/9/2022,
3214,C,M,F,84000,76300,14/2/2020,
3229,C,M,M,36000,11500,28/2/2020,
3238,D,M,F,60000,11500,12/2/2021,
3240,E,M,F,100000,47400,13/11/2021,
3251,E,M,F,36000,75000,23/5/2022,
3259,C,M,F,72000,41200,1/5/2020,
3259,C,M,F,60000,11500,12/9/2021,
3273,C,D,M,120000,41400,24/3/2021,
3276,D,M,F,108000,81100,23/1/2022,
3294,C,S,M,100000,47400,16/3/2020,
3310,B,S,F,500000,52000,27/2/2020,
3321,E,M,M,36000,68100,8/10/2021,
3325,B,M,M,60000,10470,18/5/2023,
3342,D,M,F,36000,47400,30/5/2020,
3349,E,M,F,48000,81100,7/9/2020,
3350,C,M,F,60000,41400,3/3/2022,
3352,C,M,F,60000,81100,1/12/2022,
3353,D,M,M,84000,11500,4/6/2022,
3361,D,M,M,60000,41200,6/1/2020,
3366,D,M,M,500000,41400,19/2/2022,
3376,E,D,F,120000,41200,21/1/2022,
3383,C,M,M,36000,41400,14/1/2023,
3387,E,M,M,60000,42000,17/3/2020,
3395,B,S,F,250000,41200,23/5/2023,
3403,C,M,F,36000,50450,25/5/2023,
3429,E,M,F,100000,41400,7/3/2021,
3432,B,S,M,60000,51200,26/4/2020,
3435,C,M,M,100000,47400,11/8/2021,
3439,C,S,M,108000,10470,22/5/2023,
3450,C,M,M,60000,11500,19/1/2021,
3454,C,M,F,48000,76300,22/3/2023,
3460,B,S,M,108000,80300,18/10/2020,
3464,D,M,F,36000,42000,1/12/2020,
3464,D,M,F,48000,10470,22/1/2022,
3464,D,M,F,60000,75000,26/4/2021,
3464,D,M,F,36000,75000,18/4/2023,
3470,C,S,M,60000,11500,5/2/2021,
3481,B,M,M,50000,81100,24/3/2022,
3481,B,M,M,108000,81100,4/12/2022,
3499,D,M,F,120000,41400,24/11/2020,
3512,D,M,M,36000,80300,31/1/2021,
3534,C,M,F,48000,41200,25/10/2020,
3552,C,M,F,250000,76300,31/7/2020,
3558,C,M,M,250000,47400,15/5/2022,
3565,D,M,M,72000,11500,8/11/2021,
3568,C,M,M,60000,41400,25/9/2022,
3581,D,M,M,500000,75000,17/1/2022,
3583,C,S,M,84000,80300,14/2/2023,
3584,E,M,M,48000,51200,12/2/2020,
3594,D,M,F,500000,50450,23/7/2022,
3598,D,M,M,250000,41400,24/9/2020,
3620,D,M,F,100000,42000,13/1/2022,
3621,D,M,M,36000,76300,16/10/2021,
3625,C,M,F,250000,11500,23/11/2020,
3626,D,M,F,36000,41400,9/9/2020,
3641,C,M,M,50000,41400,19/11/2022,
3642,E,S,F,50000,11500,27/4/2020,
3644,C,M,M,36000,75000,19/1/2020,
3645,E,W,F,36000,41400,26/5/2023,
3647,C,S,F,108000,68100,9/8/2021,
3649,D,M,M,108000,41250,23/6/2022,
3652,C,M,M,48000,81100,28/10/2022,
3653,D,M,F,108000,41400,6/4/2022,
3657,C,M,F,48000,50450,22/5/2020,
3659,C,M,F,48000,50450,21/1/2021,
3685,E,D,F,500000,11500,7/9/2022,
3691,C,M,F,36000,47400,22/2/2020,
3715,C,S,F,48000,52000,7/10/2020,
3726,D,M,F,108000,50450,21/4/2023,
3732,C,M,F,50000,76300,23/2/2022,
3736,D,S,M,60000,75000,7/8/2021,
3745,C,S,F,72000,41250,12/3/2022,
3751,C,D,F,108000,80300,7/1/2022,
3753,D,M,F,60000,42000,20/2/2023,
3756,C,S,F,60000,41200,7/3/2020,
3769,D,M,M,48000,47400,2/6/2021,
3771,C,S,M,60000,41250,30/11/2020,
3772,D,M,M,36000,11500,14/5/2021,
3777,D,M,F,60000,42000,7/3/2023,
3786,B,S,M,48000,11500,17/6/2020,
3793,D,M,M,60000,41250,2/8/2021,
3794,D,M,M,250000,50450,21/4/2022,
3840,C,M,M,60000,41200,15/11/2021,
3841,D,M,F,72000,50450,21/11/2021,
3843,D,M,F,50000,80300,2/4/2023,
3849,C,M,F,60000,41250,25/9/2021,
3851,D,S,M,48000,11500,6/10/2022,
3853,B,M,M,72000,75000,18/12/2020,
3857,E,M,F,48000,50450,26/6/2021,
3874,D,M,F,60000,81100,19/10/2021,
3875,E,M,M,72000,52000,3/4/2023,
3893,D,M,M,48000,41400,5/11/2021,
3902,B,S,M,48000,80300,1/4/2022,
3902,B,S,M,72000,41200,27/2/2020,
3922,C,S,F,48000,41400,3/12/2022,
3926,C,M,M,250000,50450,24/12/2020,
3938,C,S,M,500000,41200,5/2/2022,
3945,E,M,F,50000,51200,25/7/2021,
3947,C,D,F,250000,76300,3/3/2020,
3948,D,M,F,72000,81100,30/6/2021,
3951,C,M,F,36000,47400,20/6/2020,
3959,D,S,M,48000,47400,6/3/2021,
3960,D,M,F,84000,11500,18/9/2022,
3978,E,M,M,100000,41250,19/1/2021,
4000,D,M,M,100000,52000,14/5/2021,
4002,B,M,M,48000,75000,29/12/2020,
4005,B,S,F,60000,52000,24/3/2022,
4010,C,M,F,120000,50450,15/11/2022,
4018,B,S,F,100000,52000,26/8/2021,
4036,C,M,F,60000,68100,11/1/2022,
4051,C,S,M,48000,10470,18/9/2021,
4056,E,M,M,48000,47400,11/6/2022,
4080,C,S,F,60000,52000,23/11/2020,
4088,D,M,F,48000,52000,28/4/2020,
4105,E,S,F,84000,41400,24/10/2021,
4106,E,M,F,60000,50450,13/10/2021,
4120,E,S,F,48000,41250,25/1/2023,
4121,E,M,M,108000,42000,11/8/2020,
4124,D,M,M,120000,75000,5/5/2021,
4130,C,M,M,36000,47400,4/10/2022,
4133,B,S,F,100000,50450,8/6/2021,
4135,E,S,F,500000,50450,22/4/2021,
4144,B,M,M,50000,80300,25/5/2020,
4149,D,M,M,120000,47400,14/4/2022,
4151,B,S,M,72000,75000,23/9/2020,
4163,C,M,M,36000,41400,27/2/2020,
4185,C,M,F,60000,52000,20/5/2020,
4188,B,S,F,48000,80300,30/7/2021,
4200,B,S,M,60000,41250,27/8/2020,
4203,B,M,M,100000,80300,3/7/2022,
4207,E,M,M,84000,75000,18/7/2021,
4218,B,M,F,120000,47400,18/9/2021,
4224,D,M,F,48000,41400,5/4/2022,
4228,C,M,F,60000,47400,18/12/2022,
4231,D,W,F,48000,11500,25/11/2020,
4243,D,S,M,50000,76300,7/6/2020,
4244,C,S,F,500000,11500,11/11/2021,
4263,D,M,M,250000,76300,20/3/2020,
4264,C,M,M,84000,76300,29/1/2023,
4269,B,S,F,48000,11500,30/3/2021,
4275,D,M,M,48000,75000,30/6/2021,
4278,C,M,M,120000,42000,20/1/2022,
4282,D,M,M,48000,41250,26/4/2023,
4283,E,M,F,84000,68100,18/10/2022,
4287,C,M,F,500000,50450,10/10/2020,
4287,C,M,F,100000,81100,8/11/2021,
4297,C,M,M,48000,80300,11/8/2021,
4301,C,S,M,48000,41200,7/6/2021,
4304,C,M,F,100000,50450,24/1/2023,
4308,E,M,M,250000,52000,24/4/2021,
4313,B,S,F,48000,41250,11/12/2022,
4315,E,D,F,36000,52000,16/1/2020,
4316,D,S,M,50000,75000,12/5/2023,
4318,D,M,M,48000,76300,2/3/2022,
4338,C,S,M,500000,68100,5/9/2021,
4340,C,M,F,48000,41200,24/8/2021,
4341,D,M,F,36000,10470,22/6/2023,
4349,C,S,F,500000,52000,12/3/2022,
4376,E,M,F,48000,42000,10/10/2020,
4389,E,R,F,48000,47400,8/7/2020,
4403,D,M,F,500000,42000,16/7/2021,
4416,D,M,F,500000,42000,17/10/2022,
4419,D,M,F,50000,41200,16/10/2022,
4442,D,M,F,108000,51200,25/8/2020,
4445,C,M,M,50000,10470,15/11/2022,
4452,D,M,F,100000,41250,14/8/2022,
4455,D,S,F,250000,50450,17/12/2021,
4458,D,M,M,36000,50450,12/10/2020,
4460,C,S,M,36000,41250,6/4/2022,
4465,B,S,M,72000,52000,20/12/2022,
4479,D,D,F,72000,41250,24/3/2021,
4482,C,M,M,250000,75000,28/2/2023,
4489,C,M,F,250000,11500,28/2/2023,
4489,C,M,F,50000,80300,4/11/2022,
4491,B,M,F,50000,42000,24/7/2021,
4493,C,M,M,36000,80300,11/12/2020,
4495,C,M,M,120000,76300,27/4/2020,
4511,C,M,M,48000,81100,2/9/2020,
4515,D,M,M,60000,50450,5/2/2023,
4519,B,S,F,48000,80300,17/6/2021,
4523,B,M,M,72000,76300,7/6/2022,
4524,D,M,F,84000,41200,19/11/2021,
4545,C,S,M,120000,75000,3/2/2023,
4549,B,S,F,84000,41200,21/7/2022,
4560,D,M,M,36000,41400,25/7/2022,
4565,E,M,F,36000,52000,5/7/2022,
4568,D,M,M,108000,80300,15/11/2022,
4583,B,S,F,72000,11500,26/8/2022,
4597,A,S,F,0,52000,6/1/2022,
4600,C,M,M,50000,80300,21/11/2020,
4602,D,S,M,60000,41250,9/12/2022,
4616,B,S,F,500000,81100,25/8/2021,
4620,B,S,M,36000,10470,6/4/2023,
4622,C,M,M,500000,68100,10/3/2020,
4625,C,M,F,500000,81100,29/1/2022,
4640,B,S,M,120000,41200,16/4/2020,
4643,B,S,M,60000,52000,24/4/2021,
4661,D,M,F,48000,52000,10/1/2021,
4667,C,M,M,48000,50450,30/4/2021,
4673,D,M,M,500000,50450,4/2/2021,
4674,E,M,M,60000,41400,14/5/2022,
4685,B,S,F,250000,50450,20/10/2021,
4690,C,M,M,72000,75000,12/6/2023,
4691,E,M,M,100000,81100,22/9/2022,
4692,A,S,M,0,52000,25/4/2020,
4751,E,M,F,48000,80300,9/9/2022,
4757,D,M,M,36000,81100,13/2/2021,
4760,B,M,F,108000,47400,6/12/2022,
4762,C,M,F,72000,76300,13/9/2022,
4764,D,M,F,36000,68100,7/10/2022,
4765,D,M,F,100000,52000,10/9/2021,
4793,E,M,F,50000,41200,30/9/2021,
4795,E,M,M,120000,41400,9/9/2022,
4798,C,M,F,48000,47400,8/1/2023,
4807,D,M,M,100000,41200,5/12/2021,
4814,D,R,M,120000,51200,5/1/2022,
4816,E,M,F,500000,75000,28/12/2022,
4818,C,M,M,108000,10470,9/2/2023,
4819,B,M,M,120000,10470,16/4/2020,
4820,D,M,M,36000,51200,23/10/2022,
4824,B,S,M,120000,11500,19/11/2022,
4836,C,M,M,36000,47400,25/3/2021,
4837,B,S,M,50000,51200,30/1/2023,
4845,D,M,F,50000,41400,11/1/2023,
4850,B,M,M,60000,41200,14/2/2020,
