POLICY_NUMBER,PLAN_CODE,CLIENT_CODE,SUM_ASSURED,MODAL_PREMIUM,ISSUE_DATE,TYPE,POLICY_STATUS,SURRENDER_DATE,PAYMENT_MODE
8251,96,367,250000,1346,2020-05-21 00:00:00,A,IN-FORCE,,12
11681,7,371,78500,2176,2020-06-23 00:00:00,A,IN-FORCE,,12
28398,136,373,25000,543,2020-03-24 00:00:00,E,IN-FORCE,,12
33331,167,379,180000,916,2020-06-18 00:00:00,E,IN-FORCE,,1
28387,166,380,762820,2939,2020-05-29 00:00:00,E,IN-FORCE,,12
12982,115,404,37500,605,2020-06-25 00:00:00,A,IN-FORCE,,12
39182,128,406,675000,1841,2020-06-25 00:00:00,E,IN-FORCE,,12
15484,167,419,25000,1371,2020-01-21 00:00:00,E,SURRENDERED,2021-02-15 00:00:00,1
8773,105,434,50000,1149,2020-05-19 00:00:00,A,IN-FORCE,,12
39663,136,442,2500000,611,2020-06-27 00:00:00,E,IN-FORCE,,12
25755,120,443,177327,2107,2020-02-28 00:00:00,E,IN-FORCE,,12
30882,127,444,1350450,2904,2020-04-17 00:00:00,E,IN-FORCE,,12
21447,120,459,31666.5,450,2020-01-31 00:00:00,E,IN-FORCE,,12
8021,105,460,12500,1039,2020-05-13 00:00:00,A,IN-FORCE,,1
36222,128,461,675000,611,2020-06-22 00:00:00,E,IN-FORCE,,12
6161,96,466,250000,637,2020-04-17 00:00:00,A,IN-FORCE,,12
23122,128,470,675000,2283,2020-02-12 00:00:00,E,IN-FORCE,,12
19125,136,479,315000,1354,2020-01-22 00:00:00,E,IN-FORCE,,1
18858,136,486,62025,2345,2020-02-18 00:00:00,E,IN-FORCE,,12
31624,136,498,75000,932,2020-04-30 00:00:00,E,IN-FORCE,,12
31627,136,498,75000,2059,2020-05-19 00:00:00,E,IN-FORCE,,12
10963,2,527,125000,247,2020-06-11 00:00:00,A,IN-FORCE,,12
10927,2,531,125000,1216,2020-06-17 00:00:00,A,IN-FORCE,,1
13086,27,535,125000,504,2020-06-27 00:00:00,A,IN-FORCE,,12
25672,167,552,125000,1946,2020-03-20 00:00:00,E,IN-FORCE,,1
2553,27,558,62500,1069,2020-02-10 00:00:00,A,LAPSE,,1
35760,136,561,25000,2036,2020-06-22 00:00:00,E,IN-FORCE,,12
38101,136,562,2250000,1884,2020-06-23 00:00:00,E,IN-FORCE,,12
27323,136,604,37500,728,2020-03-11 00:00:00,E,IN-FORCE,,12
4655,43,627,375,1897,2020-04-09 00:00:00,A,IN-FORCE,,12
4653,43,628,375,2969,2020-04-09 00:00:00,A,IN-FORCE,,12
16626,139,629,25000,772,2020-01-07 00:00:00,E,IN-FORCE,,1
22570,120,649,1009497.6,964,2020-02-26 00:00:00,E,IN-FORCE,,12
22720,132,660,82500,1689,2020-03-12 00:00:00,E,IN-FORCE,,1
25026,132,660,75000,658,2020-03-12 00:00:00,E,IN-FORCE,,1
21554,132,677,25000,2652,2020-02-10 00:00:00,E,IN-FORCE,,12
9137,2,685,50000,680,2020-05-27 00:00:00,A,IN-FORCE,,12
29552,136,692,450000,971,2020-03-30 00:00:00,E,IN-FORCE,,12
20658,132,697,25000,583,2020-02-19 00:00:00,E,IN-FORCE,,12
13444,27,708,31250,1957,2020-06-27 00:00:00,A,IN-FORCE,,12
38257,136,712,180000,1653,2020-06-22 00:00:00,E,IN-FORCE,,1
26356,167,732,125000,2771,2020-02-29 00:00:00,E,LAPSE,,1
25628,167,741,250000,2574,2020-02-28 00:00:00,E,IN-FORCE,,1
36178,158,764,2125000,1672,2020-06-17 00:00:00,E,IN-FORCE,,12
17252,157,765,2500000,1100,2020-01-17 00:00:00,E,IN-FORCE,,1
8992,107,772,83112.6,1801,2020-05-28 00:00:00,A,IN-FORCE,,0
16756,151,808,1250000,2569,2020-02-05 00:00:00,E,IN-FORCE,,12
26371,167,809,200000,357,2020-03-10 00:00:00,E,IN-FORCE,,1
37486,121,811,223028.4,2983,2020-06-26 00:00:00,E,IN-FORCE,,12
6062,41,817,126865,2790,2020-04-02 00:00:00,A,IN-FORCE,,1
18181,136,820,165000,209,2020-01-07 00:00:00,E,IN-FORCE,,3
2566,96,826,250000,2011,2020-02-13 00:00:00,A,IN-FORCE,,12
17395,136,836,180000,2109,2020-01-02 00:00:00,E,IN-FORCE,,12
8959,45,837,500,2996,2020-05-28 00:00:00,A,LAPSE,,6
15658,167,841,125000,2936,2020-01-20 00:00:00,E,IN-FORCE,,12
17660,136,848,150000,350,2020-01-21 00:00:00,E,IN-FORCE,,1
9434,2,859,50000,2426,2020-06-12 00:00:00,A,IN-FORCE,,1
13470,105,860,125000,399,2020-06-26 00:00:00,A,IN-FORCE,,12
39495,136,872,437500,1886,2020-06-29 00:00:00,E,IN-FORCE,,12
39518,132,872,437500,255,2020-06-29 00:00:00,E,IN-FORCE,,12
25871,166,890,375000,1609,2020-03-19 00:00:00,E,IN-FORCE,,1
27145,136,902,25000,1715,2020-04-07 00:00:00,E,IN-FORCE,,12
36007,136,904,75000,1135,2020-06-16 00:00:00,E,IN-FORCE,,1
31192,119,905,45000,1996,2020-04-28 00:00:00,E,IN-FORCE,,12
545,2,912,50000,1872,2020-01-09 00:00:00,A,IN-FORCE,,12
19995,166,925,500000,1186,2020-02-10 00:00:00,E,IN-FORCE,,12
18909,136,934,387500,1260,2020-02-07 00:00:00,E,IN-FORCE,,12
37248,128,959,675000,2364,2020-06-16 00:00:00,E,IN-FORCE,,12
13614,20,965,62500,357,2020-06-27 00:00:00,A,LAPSE,,1
20897,120,966,54778.8,287,2020-01-30 00:00:00,E,IN-FORCE,,12
13107,80,968,375,685,2020-06-25 00:00:00,A,IN-FORCE,,12
29917,166,973,470000,2568,2020-05-27 00:00:00,E,LAPSE,,1
20645,168,974,125000,1274,2020-02-14 00:00:00,E,IN-FORCE,,1
7342,2,989,50000,2421,2020-05-13 00:00:00,A,IN-FORCE,,1
328,33,993,4102577.45,2775,2020-01-16 00:00:00,A,IN-FORCE,,12
35947,136,1001,90000,2685,2020-06-20 00:00:00,E,IN-FORCE,,12
5325,3,1018,125000,536,2020-03-21 00:00:00,A,IN-FORCE,,1
18616,120,1028,48256.8,963,2020-01-24 00:00:00,E,IN-FORCE,,12
17707,170,1031,50000,2184,2020-01-02 00:00:00,E,IN-FORCE,,12
39457,128,1034,675000,2254,2020-06-26 00:00:00,E,IN-FORCE,,12
9005,97,1035,500000,1223,2020-06-03 00:00:00,A,IN-FORCE,,12
35700,136,1050,1500000,2693,2020-06-26 00:00:00,E,IN-FORCE,,12
6674,115,1062,30000,317,2020-04-20 00:00:00,A,IN-FORCE,,12
7093,115,1062,31500,1495,2020-04-24 00:00:00,A,IN-FORCE,,12
32521,121,1086,48256.8,2716,2020-05-14 00:00:00,E,IN-FORCE,,12
20490,136,1088,937500,1056,2020-03-12 00:00:00,E,IN-FORCE,,12
19028,127,1092,675000,346,2020-02-19 00:00:00,E,IN-FORCE,,12
15816,136,1093,25000,2483,2020-01-07 00:00:00,E,IN-FORCE,,12
21491,126,1100,510000,1615,2020-01-31 00:00:00,E,IN-FORCE,,0
4788,115,1102,15000,2495,2020-03-16 00:00:00,A,IN-FORCE,,3
3097,22,1110,125000,2135,2020-02-26 00:00:00,A,IN-FORCE,,1
37588,166,1119,50000,2609,2020-06-26 00:00:00,E,IN-FORCE,,12
1931,3,1128,125000,977,2020-01-29 00:00:00,A,LAPSE,,1
35437,138,1130,25000,2810,2020-06-16 00:00:00,E,IN-FORCE,,1
5975,3,1135,125000,1870,2020-03-31 00:00:00,A,IN-FORCE,,1
11861,2,1137,50000,1237,2020-06-17 00:00:00,A,LAPSE,,1
26605,165,1153,125000,2180,2020-03-11 00:00:00,E,IN-FORCE,,1
8384,2,1162,50000,2793,2020-05-13 00:00:00,A,IN-FORCE,,1
38256,121,1169,98470.2,1295,2020-06-23 00:00:00,E,IN-FORCE,,12
17455,165,1174,250000,1732,2020-01-08 00:00:00,E,IN-FORCE,,1
23542,166,1175,50000,2325,2020-02-18 00:00:00,E,IN-FORCE,,1
4615,3,1177,125000,637,2020-03-12 00:00:00,A,IN-FORCE,,1
21089,136,1181,105000,755,2020-03-26 00:00:00,E,IN-FORCE,,12
39526,128,1183,450000,887,2020-06-29 00:00:00,E,IN-FORCE,,12
7326,105,1188,25000,2548,2020-04-28 00:00:00,A,IN-FORCE,,1
23106,167,1191,500000,2011,2020-03-04 00:00:00,E,IN-FORCE,,1
34588,132,1192,260000,1154,2020-06-09 00:00:00,E,IN-FORCE,,12
20133,165,1194,50000,1464,2020-01-30 00:00:00,E,IN-FORCE,,1
18062,165,1209,500000,243,2020-02-21 00:00:00,E,IN-FORCE,,1
36544,136,1216,5000000,1533,2020-06-13 00:00:00,E,IN-FORCE,,6
22470,136,1217,750000,2094,2020-02-10 00:00:00,E,IN-FORCE,,12
1036,20,1218,62500,701,2020-01-16 00:00:00,A,CANCELED DURING COOLING OFF PERIOD,,6
7892,45,1220,500,964,2020-05-18 00:00:00,A,IN-FORCE,,6
17920,166,1227,25000,1840,2020-01-14 00:00:00,E,IN-FORCE,,12
3475,7,1241,50000,622,2020-02-25 00:00:00,A,LAPSE,,1
315,74,1253,1000,1304,2020-01-03 00:00:00,A,IN-FORCE,,6
9233,41,1263,75000,2536,2020-05-29 00:00:00,A,IN-FORCE,,12
916,6,1264,500000,1886,2020-01-06 00:00:00,A,IN-FORCE,,1
10348,96,1273,250000,2461,2020-06-09 00:00:00,A,IN-FORCE,,12
21195,119,1286,90000,2188,2020-01-31 00:00:00,E,IN-FORCE,,12
16191,166,1288,300000,1435,2020-01-02 00:00:00,E,IN-FORCE,,1
36685,136,1314,275000,2256,2020-06-17 00:00:00,E,IN-FORCE,,12
11842,96,1317,250000,2187,2020-06-22 00:00:00,A,IN-FORCE,,12
34105,167,1318,125000,938,2020-05-27 00:00:00,E,IN-FORCE,,1
15521,136,1320,25000,1391,2020-01-10 00:00:00,E,IN-FORCE,,12
17820,136,1321,25000,512,2020-01-03 00:00:00,E,IN-FORCE,,12
25983,166,1330,375000,545,2020-02-27 00:00:00,E,IN-FORCE,,1
32387,136,1332,86250,2785,2020-05-18 00:00:00,E,IN-FORCE,,12
1489,22,1334,125000,2709,2020-01-31 00:00:00,A,IN-FORCE,,1
3867,43,1367,375,1042,2020-03-11 00:00:00,A,IN-FORCE,,6
37043,136,1373,53375,1144,2020-06-23 00:00:00,E,IN-FORCE,,12
18152,167,1375,25000,1864,2020-01-20 00:00:00,E,IN-FORCE,,6
9197,43,1398,375,1748,2020-05-22 00:00:00,A,IN-FORCE,,12
18981,167,1403,375000,823,2020-01-22 00:00:00,E,IN-FORCE,,12
18724,167,1411,250000,2003,2020-01-09 00:00:00,E,IN-FORCE,,1
15327,163,1417,25000,2576,2020-01-22 00:00:00,E,IN-FORCE,,6
22560,128,1419,375000.075,2898,2020-02-14 00:00:00,E,IN-FORCE,,12
39041,165,1424,250000,1132,2020-06-25 00:00:00,E,IN-FORCE,,1
3317,3,1427,125000,2519,2020-02-24 00:00:00,A,IN-FORCE,,1
3117,115,1439,50000,694,2020-03-06 00:00:00,A,IN-FORCE,,12
20242,128,1445,675000,2949,2020-01-30 00:00:00,E,IN-FORCE,,12
34758,136,1448,138750,730,2020-05-29 00:00:00,E,IN-FORCE,,12
10908,2,1456,50000,1701,2020-06-11 00:00:00,A,IN-FORCE,,12
30106,165,1476,125000,923,2020-03-27 00:00:00,E,IN-FORCE,,3
19036,136,1483,25000,1850,2020-01-22 00:00:00,E,IN-FORCE,,12
10931,2,1497,125000,1378,2020-06-10 00:00:00,A,IN-FORCE,,12
27000,136,1499,470000,2074,2020-03-19 00:00:00,E,IN-FORCE,,12
19735,167,1501,12500,692,2020-01-17 00:00:00,E,IN-FORCE,,1
13460,62,1512,500,1906,2020-06-26 00:00:00,A,IN-FORCE,,12
18915,136,1526,450000,1128,2020-01-20 00:00:00,E,IN-FORCE,,12
31115,136,1537,60120,1893,2020-04-18 00:00:00,E,IN-FORCE,,1
27325,166,1538,500000,638,2020-03-30 00:00:00,E,IN-FORCE,,1
15853,166,1549,25000,2059,2020-01-14 00:00:00,E,IN-FORCE,,12
15535,136,1555,300000,800,2020-02-05 00:00:00,E,IN-FORCE,,1
32228,167,1564,250000,463,2020-05-06 00:00:00,E,IN-FORCE,,6
28426,136,1583,2522685,214,2020-03-27 00:00:00,E,IN-FORCE,,12
32889,128,1597,337500,249,2020-05-20 00:00:00,E,IN-FORCE,,12
4033,96,1616,250000,1519,2020-03-21 00:00:00,A,IN-FORCE,,12
17277,136,1619,206640,2078,2020-02-26 00:00:00,E,IN-FORCE,,12
27218,136,1642,360000,1680,2020-03-10 00:00:00,E,IN-FORCE,,12
19087,166,1646,25000,1874,2020-02-18 00:00:00,E,IN-FORCE,,1
10087,2,1651,50000,2632,2020-05-29 00:00:00,A,CANCELED DURING COOLING OFF PERIOD,,1
11114,105,1669,25000,1700,2020-06-10 00:00:00,A,IN-FORCE,,12
10059,105,1700,64212.5,1291,2020-06-23 00:00:00,A,IN-FORCE,,12
23080,119,1703,300000,238,2020-02-12 00:00:00,E,IN-FORCE,,12
11135,20,1706,62500,2396,2020-06-12 00:00:00,A,IN-FORCE,,3
35378,166,1714,75000,1567,2020-06-03 00:00:00,E,IN-FORCE,,1
37767,167,1728,12500,2169,2020-06-19 00:00:00,E,IN-FORCE,,12
27107,167,1731,375000,1684,2020-04-17 00:00:00,E,IN-FORCE,,1
37229,119,1755,300000,1685,2020-06-18 00:00:00,E,IN-FORCE,,12
26338,119,1759,300000,2207,2020-02-29 00:00:00,E,IN-FORCE,,12
15533,167,1760,75000,919,2020-02-27 00:00:00,E,IN-FORCE,,12
11755,20,1769,62500,771,2020-06-22 00:00:00,A,IN-FORCE,,1
13665,96,1785,250000,2496,2020-06-26 00:00:00,A,IN-FORCE,,12
21539,128,1800,337500,751,2020-02-06 00:00:00,E,SURRENDERED,2021-02-10 00:00:00,12
27997,136,1812,25000,960,2020-03-24 00:00:00,E,IN-FORCE,,12
31553,167,1815,50995,1287,2020-05-20 00:00:00,E,IN-FORCE,,1
37656,136,1816,25000,2103,2020-06-17 00:00:00,E,IN-FORCE,,1
15929,166,1824,125000,659,2020-04-15 00:00:00,E,IN-FORCE,,12
31374,166,1825,1250,1848,2020-04-29 00:00:00,E,IN-FORCE,,1
697,3,1830,125000,838,2020-01-08 00:00:00,A,LAPSE,,1
16281,157,1831,2500000,1407,2020-03-13 00:00:00,E,IN-FORCE,,12
23839,137,1836,250000,525,2020-02-18 00:00:00,E,IN-FORCE,,1
3271,96,1840,250000,1319,2020-03-03 00:00:00,A,IN-FORCE,,12
24676,165,1840,25000,478,2020-03-03 00:00:00,E,IN-FORCE,,1
11874,92,1853,250000,1431,2020-06-19 00:00:00,A,IN-FORCE,,12
39603,167,1862,125000,2047,2020-06-28 00:00:00,E,IN-FORCE,,12
18247,127,1864,854901.45,585,2020-01-21 00:00:00,E,IN-FORCE,,12
13457,105,1886,62500,2942,2020-06-25 00:00:00,A,IN-FORCE,,12
19542,119,1888,45000,1758,2020-01-17 00:00:00,E,IN-FORCE,,12
16822,128,1895,1125364.5,2588,2020-01-06 00:00:00,E,CANCELED DURING COOLING OFF PERIOD,,1
27378,166,1905,250000,824,2020-03-18 00:00:00,E,IN-FORCE,,1
38065,136,1916,640625,2631,2020-06-27 00:00:00,E,IN-FORCE,,12
18332,136,1927,1341340,366,2020-03-19 00:00:00,E,IN-FORCE,,12
37543,136,1934,25000,1009,2020-06-19 00:00:00,E,IN-FORCE,,1
18352,139,1944,902840,2094,2020-01-23 00:00:00,E,IN-FORCE,,12
36511,167,1949,12500,2407,2020-06-16 00:00:00,E,IN-FORCE,,12
26741,166,1952,250000,829,2020-03-04 00:00:00,E,IN-FORCE,,1
37419,166,1957,250000,689,2020-06-22 00:00:00,E,IN-FORCE,,12
5771,23,1960,250000,2210,2020-04-06 00:00:00,A,IN-FORCE,,1
21372,128,1966,900000,2150,2020-02-18 00:00:00,E,IN-FORCE,,12
22538,128,1975,337500,1688,2020-02-13 00:00:00,E,IN-FORCE,,12
446,25,1976,125000,2662,2020-03-10 00:00:00,A,IN-FORCE,,1
23191,136,1982,180000,1481,2020-02-12 00:00:00,E,IN-FORCE,,12
20188,154,1985,1250000,1646,2020-02-25 00:00:00,E,IN-FORCE,,12
25634,166,1994,125000,1102,2020-04-15 00:00:00,E,IN-FORCE,,1
7077,80,2002,375,365,2020-04-23 00:00:00,A,IN-FORCE,,12
9419,96,2021,250000,1373,2020-05-28 00:00:00,A,IN-FORCE,,12
34285,136,2048,2500000,718,2020-05-29 00:00:00,E,IN-FORCE,,12
10345,2,2057,50000,2912,2020-06-09 00:00:00,A,IN-FORCE,,12
36681,154,2067,1250000,323,2020-06-17 00:00:00,E,IN-FORCE,,3
36694,157,2067,1250000,1583,2020-06-17 00:00:00,E,IN-FORCE,,12
27667,166,2069,250000,2652,2020-03-23 00:00:00,E,IN-FORCE,,12
8445,2,2078,50000,2783,2020-05-16 00:00:00,A,IN-FORCE,,12
25063,119,2085,1080000,1142,2020-02-25 00:00:00,E,IN-FORCE,,12
4561,115,2088,20000,2509,2020-03-11 00:00:00,A,IN-FORCE,,12
38053,165,2109,250000,2410,2020-06-25 00:00:00,E,IN-FORCE,,1
6716,24,2112,250000,1998,2020-04-16 00:00:00,A,IN-FORCE,,12
15276,117,2115,,793,2020-06-19 00:00:00,E,IN-FORCE,,1
21714,136,2123,525000,1771,2020-01-31 00:00:00,E,IN-FORCE,,1
18207,167,2131,250000,1071,2020-01-14 00:00:00,E,IN-FORCE,,1
29210,166,2135,500000,1465,2020-03-25 00:00:00,E,IN-FORCE,,3
37978,165,2136,170000,505,2020-06-24 00:00:00,E,IN-FORCE,,12
31032,165,2144,12500,2688,2020-04-17 00:00:00,E,IN-FORCE,,1
29052,136,2165,25000,885,2020-03-18 00:00:00,E,IN-FORCE,,12
23229,165,2184,250000,766,2020-03-02 00:00:00,E,IN-FORCE,,1
12862,80,2200,375,1064,2020-06-25 00:00:00,A,IN-FORCE,,12
3287,2,2209,125000,1233,2020-02-28 00:00:00,A,CANCELED DURING COOLING OFF PERIOD,,12
38160,167,2218,25000,1159,2020-06-22 00:00:00,E,IN-FORCE,,1
13219,20,2223,62500,2735,2020-06-27 00:00:00,A,IN-FORCE,,1
31883,132,2228,180000,274,2020-04-29 00:00:00,E,IN-FORCE,,3
16606,167,2231,500000,2369,2020-02-06 00:00:00,E,IN-FORCE,,1
3508,2,2238,50000,1610,2020-02-29 00:00:00,A,LAPSE,,1
39643,166,2238,250000,923,2020-06-28 00:00:00,E,IN-FORCE,,1
12568,96,2240,250000,708,2020-06-24 00:00:00,A,IN-FORCE,,12
17070,136,2246,275000,1775,2020-01-02 00:00:00,E,IN-FORCE,,1
35135,165,2249,100000,1835,2020-06-17 00:00:00,E,IN-FORCE,,1
711,3,2258,125000,666,2020-01-09 00:00:00,A,LAPSE,,1
24710,132,2264,1250000,899,2020-05-19 00:00:00,E,IN-FORCE,,12
28966,127,2272,675000,2286,2020-03-27 00:00:00,E,IN-FORCE,,12
20225,157,2275,1250000,934,2020-02-14 00:00:00,E,IN-FORCE,,1
34367,137,2288,465000,2819,2020-05-28 00:00:00,E,IN-FORCE,,12
4412,45,2290,500,592,2020-03-18 00:00:00,A,IN-FORCE,,6
17884,166,2297,125000,2507,2020-01-14 00:00:00,E,IN-FORCE,,1
8716,115,2304,25000,2567,2020-05-22 00:00:00,A,IN-FORCE,,12
22776,128,2310,675000,1304,2020-02-13 00:00:00,E,IN-FORCE,,12
17077,167,2322,25000,1388,2020-02-12 00:00:00,E,IN-FORCE,,1
10522,3,2332,125000,507,2020-06-04 00:00:00,A,IN-FORCE,,1
20297,119,2350,90000,1454,2020-01-30 00:00:00,E,IN-FORCE,,12
16745,136,2351,25000,2819,2020-01-02 00:00:00,E,IN-FORCE,,12
39662,167,2357,125000,1526,2020-06-26 00:00:00,E,IN-FORCE,,12
30905,167,2369,37500,1461,2020-04-23 00:00:00,E,IN-FORCE,,1
8285,2,2385,50000,1839,2020-05-15 00:00:00,A,IN-FORCE,,1
16907,168,2394,12500,1041,2020-01-06 00:00:00,E,IN-FORCE,,12
24987,136,2397,50000,890,2020-02-24 00:00:00,E,IN-FORCE,,1
9608,105,2402,12500,2102,2020-06-26 00:00:00,A,IN-FORCE,,12
3488,45,2418,500,1917,2020-03-18 00:00:00,A,IN-FORCE,,12
30231,165,2419,125000,2896,2020-06-24 00:00:00,E,IN-FORCE,,1
11038,105,2443,12500,1283,2020-06-15 00:00:00,A,IN-FORCE,,12
21908,168,2455,37895,972,2020-02-26 00:00:00,E,IN-FORCE,,12
33931,165,2456,62500,2838,2020-05-30 00:00:00,E,IN-FORCE,,1
21800,166,2469,12500,884,2020-02-25 00:00:00,E,IN-FORCE,,12
18925,136,2473,25000,622,2020-03-03 00:00:00,E,IN-FORCE,,12
12745,63,2487,500,866,2020-06-25 00:00:00,A,IN-FORCE,,12
31406,169,2501,250000,2022,2020-04-24 00:00:00,E,IN-FORCE,,1
15824,136,2506,375000,2946,2020-01-17 00:00:00,E,IN-FORCE,,3
29673,170,2514,75000,2556,2020-03-31 00:00:00,E,IN-FORCE,,12
18128,165,2515,250000,602,2020-03-18 00:00:00,E,IN-FORCE,,12
36166,121,2517,109557.6,2633,2020-06-13 00:00:00,E,IN-FORCE,,12
29543,121,2518,109557.6,1837,2020-03-19 00:00:00,E,IN-FORCE,,12
29706,166,2523,25000,1422,2020-04-09 00:00:00,E,IN-FORCE,,1
24517,167,2524,187500,1901,2020-02-20 00:00:00,E,IN-FORCE,,12
20745,128,2535,675000,2542,2020-01-30 00:00:00,E,IN-FORCE,,12
36469,136,2570,25000,883,2020-06-24 00:00:00,E,IN-FORCE,,12
4253,27,2581,31250,473,2020-03-06 00:00:00,A,IN-FORCE,,12
35871,167,2592,250000,2941,2020-06-18 00:00:00,E,IN-FORCE,,12
28960,165,2602,250000,969,2020-04-16 00:00:00,E,IN-FORCE,,1
859,0,2607,6250,1084,2020-01-03 00:00:00,A,LAPSE,,1
36580,121,2612,31666.5,558,2020-06-13 00:00:00,E,IN-FORCE,,12
29761,166,2613,500000,2913,2020-04-02 00:00:00,E,IN-FORCE,,1
15215,116,2616,,2655,2020-05-21 00:00:00,E,IN-FORCE,,12
33278,139,2636,1633500,772,2020-05-22 00:00:00,E,IN-FORCE,,12
27010,136,2639,25000,561,2020-03-23 00:00:00,E,IN-FORCE,,12
28690,138,2643,360000,2080,2020-03-16 00:00:00,E,IN-FORCE,,1
39160,128,2645,337500,2408,2020-06-26 00:00:00,E,CANCELED DURING COOLING OFF PERIOD,,12
16175,137,2659,1125000,2800,2020-02-14 00:00:00,E,IN-FORCE,,12
28705,121,2661,48256.8,2618,2020-03-17 00:00:00,E,IN-FORCE,,12
27998,136,2664,75000,856,2020-03-12 00:00:00,E,IN-FORCE,,12
26637,136,2665,50000,2690,2020-03-04 00:00:00,E,IN-FORCE,,12
16429,167,2699,125000,848,2020-01-02 00:00:00,E,IN-FORCE,,12
28483,119,2704,1500000,2520,2020-03-13 00:00:00,E,CANCELED DURING COOLING OFF PERIOD,,12
7604,2,2712,50000,883,2020-05-21 00:00:00,A,IN-FORCE,,12
6397,113,2737,25000,2608,2020-04-10 00:00:00,A,IN-FORCE,,12
36189,167,2740,25000,202,2020-06-20 00:00:00,E,IN-FORCE,,12
28678,127,2779,675000,2797,2020-03-16 00:00:00,E,IN-FORCE,,12
22130,136,2780,200000,475,2020-02-06 00:00:00,E,IN-FORCE,,1
6826,2,2785,50000,2097,2020-04-27 00:00:00,A,IN-FORCE,,3
20480,136,2804,750000,1218,2020-02-12 00:00:00,E,IN-FORCE,,12
8239,26,2813,62500,2132,2020-05-15 00:00:00,A,IN-FORCE,,12
133,45,2839,500,1115,2020-02-11 00:00:00,A,IN-FORCE,,6
15819,154,2855,2000000,1944,2020-01-16 00:00:00,E,IN-FORCE,,1
38317,119,2856,90000,848,2020-06-25 00:00:00,E,IN-FORCE,,12
10828,96,2865,250000,2725,2020-06-26 00:00:00,A,IN-FORCE,,12
18532,165,2868,125000,1826,2020-01-09 00:00:00,E,IN-FORCE,,1
17706,119,2872,90000,2083,2020-01-24 00:00:00,E,IN-FORCE,,1
10955,96,2887,250000,1681,2020-06-18 00:00:00,A,IN-FORCE,,12
8344,96,2888,250000,635,2020-05-27 00:00:00,A,IN-FORCE,,12
8348,96,2888,250000,2706,2020-06-15 00:00:00,A,IN-FORCE,,12
